id,vote_id,winner_id,loser_id,winner_text,loser_text,response_time_s
r1,4429446,237276,237366,McGill University,University Of Oklahoma Norman Campus,4.39
r1,4429447,237234,237276,University Of California-Berkeley,McGill University,2.047
r1,4429448,237268,237302,University of Toronto,Tulane University,3.055
r1,4429449,237314,237338,University of Nevada Las Vegas,University of Central Florida,11.649
r1,4429450,237292,237329,Rice University,University of Essex,1.627
r1,4429451,237349,237331,Virginia Polytechnic Institute And State University,Bowling Green State University,5.469
r1,4429452,237241,237274,Stanford University,University Of Illinois At Chicago,2.551
r1,4429453,237311,237370,Iowa State University,Memorial University of Newfoundland,1.851
r1,4429454,237264,237349,University Of Maryland College Park,Virginia Polytechnic Institute And State University,2.15
r1,4429456,237237,237317,Princeton University,Loyola University Chicago,1.628
r2,4429457,237320,237331,University of Cincinnati,Bowling Green State University,3.274
r1,4429458,237249,237293,Cornell University,Arizona State University,2.389
r2,4429459,237274,237314,University Of Illinois At Chicago,University of Nevada Las Vegas,3.047
r1,4429460,237368,237303,Western Michigan University,Hunter college,2.408
r2,4429461,237241,237313,Stanford University,University Of Kansas,1.802
r3,4429462,237268,237352,University of Toronto,University of Wales,3.74
r1,4429463,237281,237351,University Of Virginia,Kent State University Main Campus,1.833
r2,4429464,237273,237260,University of British Columbia,Rutgers The State University Of New Jersey New Brunswick Campus,2.281
r3,4429465,237265,237356,University Of Notre Dame,University of Waterloo,2.071
r1,4429466,237268,237303,University of Toronto,Hunter college,2.248
r2,4429467,237271,237338,State University Of New York At Stony Brook,University of Central Florida,2.31
r1,4429468,237262,237366,University Of California-Davis,University Of Oklahoma Norman Campus,2.368
r3,4429469,237255,237349,Ohio State University Main Campus,Virginia Polytechnic Institute And State University,3.795
r2,4429470,237341,237344,University of South Florida,University of York,3.43
r1,4429471,237282,237335,University Of Oregon,University of Western Ontario,2.288
r3,4429472,237261,237298,University Of California-San Diego,University Of California-San Francisco,3.372
r2,4429473,237359,237367,Oklahoma State University Main Campus,University Of Akron,4.758
r1,4429474,237340,237373,Baylor University,"National University of Ireland, Maynooth",3.67
r2,4429475,237302,237309,Tulane University,McMaster University,2.785
r1,4429476,237246,237285,Duke University,University Of Colorado At Boulder,2.067
r3,4429477,237320,237299,University of Cincinnati,State University Of New York At Buffalo,7.256
r2,4429478,237368,237338,Western Michigan University,University of Central Florida,1.756
r1,4429479,237343,237361,University of Alberta,Dalhousie University,2.176
r2,4429480,237249,237275,Cornell University,University Of Iowa,2.847
r1,4429481,237346,237364,University Of Kentucky,University of Saskatchewan,2.117
r3,4429482,237344,237343,University of York,University of Alberta,5.133
r2,4429483,237257,237354,University Of California-Irvine,Southern Illinois University Carbondale,1.873
r1,4429484,237281,237284,University Of Virginia,Boston College,3.442
r2,4429485,237256,237358,University Of Minnesota-Twin Cities,Howard University,1.75
r1,4429486,237248,237282,Indiana University At Bloomington,University Of Oregon,2.087
r3,4429487,237278,237253,University Of Illinois At Urbana-Champaign,Penn State University,6.766
r2,4429488,237320,237364,University of Cincinnati,University of Saskatchewan,4.044
r1,4429489,237267,237353,Brown University,Brigham Young University,2.521
